SiteDataTypeID,ParentID,IsFolder,SortOrder,Source,Name,SiteName,Units,TimeInterval,Parameter,TableName,FileIndex,Provider,ConnectionString,Expression,Notes
System.Int32,System.Int32,System.Boolean,System.Int32,System.String,System.String,System.String,System.String,System.String,System.String,System.String,System.Int32,System.String,System.String,System.String,System.String
1,1,True,0,,Rogue River Basin Project,,,,,,0,,,,
2,1,True,1,,real-time stream and canal flows,,,,,,0,,,,
3,2,True,2,,North Half,,,,,,0,,,,
4,3,False,3,hydromet,FOR Fourmile release,FOR,cfs,Irregular,QC,FOR_4,0,HydrometInstantSeries,server=PN;cbtt=FOR;pcode=QC;,,
5,3,False,4,hydromet,CACO Cascade Canal,CACO,cfs,Irregular,QC,CACO_5,0,HydrometInstantSeries,server=PN;cbtt=CACO;pcode=QC;,,
6,3,False,5,hydromet,FSHO Fish lake release,FSHO,cfs,Irregular,Q,FSHO_6,0,HydrometInstantSeries,server=PN;cbtt=FSHO;pcode=Q;,,
7,3,False,6,hydromet,NFLO North Fork of Little Butte Creek at Hwy 140,NFLO,cfs,Irregular,Q,NFLO_7,0,HydrometInstantSeries,server=PN;cbtt=NFLO;pcode=Q;,,
8,3,False,7,hydromet,NFBO North Fork of Little Butte Creek near Lakecreek,NFBO,cfs,Irregular,QC,NFBO_8,0,HydrometInstantSeries,server=PN;cbtt=NFBO;pcode=QC;,,
9,3,False,8,hydromet,GILO South Fork of Little Butte Creek at Gilkey Ranch,GILO,cfs,Irregular,Q,GILO_9,0,HydrometInstantSeries,server=PN;cbtt=GILO;pcode=Q;,,
10,3,False,9,hydromet,SFBO,SFBO,cfs,Irregular,QC,SFBO _10,0,HydrometInstantSeries,server=PN;cbtt=SFBO;pcode=QC;,,
11,3,False,10,hydromet,SFLO,SFLO,cfs,Irregular,Q,SFLO_11,0,HydrometInstantSeries,server=PN;cbtt=SFLO;pcode=Q;,,
12,3,False,11,hydromet,JCTO,JCTO,cfs,Irregular,QC,JCTO_12,0,HydrometInstantSeries,server=PN;cbtt=JCTO;pcode=QC;,,
13,3,False,12,hydromet,LBCO,LBCO,cfs,Irregular,Q,LBCO_13,0,HydrometInstantSeries,server=PN;cbtt=LBCO;pcode=Q;,,
14,3,False,13,hydromet,MIDO,MIDO,cfs,Irregular,QC,MIDO_14,0,HydrometInstantSeries,server=PN;cbtt=MIDO;pcode=QC;,,
15,3,False,14,hydromet,PRVO,PRVO,cfs,Irregular,Q,PRVO_15,0,HydrometInstantSeries,server=PN;cbtt=PRVO;pcode=Q;,,
16,3,False,15,hydromet,ANTO,ANTO,cfs,Irregular,QC,ANTO_16,0,HydrometInstantSeries,server=PN;cbtt=ANTO;pcode=QC;,,
